"True_Year","Site","Percent_Coral_Cover","Rugosity","Coral_Richness","Sponge_Richness","Fish_Richness","Sponge_and_Fish_Richness","Combined_Richness","Year"
2013,"crab",9.04666666666667,35,10,23,29,52,62,21
2013,"grand",12.4233333333333,70,10,27,31,58,68,21
2013,"iguana",34.0133333333333,52,15,23,33,56,71,21
2013,"monkey",6.98,32,6,27,21,48,54,21
2013,"muskN",25.14,50,13,20,25,45,58,21
2013,"pelican",7.10666666666667,20,9,27,15,42,51,21
2013,"white",7.45666666666667,25,11,20,23,43,54,21
2014,"bigelow",13.4066666666667,39,10,30,25,55,65,22
2014,"crab",14.7766666666667,44,15,20,17,37,52,22
2014,"grand",14.3733333333333,63,13,28,28,56,69,22
2014,"iguana",33.4466666666667,60,18,19,29,48,66,22
2014,"monkey",6.75,31,11,29,17,46,57,22
2014,"muskN",34.82,52,16,17,29,46,62,22
2014,"pelican",8.77,23,12,NA,13,NA,NA,22
2014,"white",8.52666666666667,31,8,15,24,39,47,22
2015,"bigelow",18.0966666666667,37,14,29,22,51,65,23
2015,"crab",9.83,35,10,20,21,41,51,23
2015,"grand",15.9266666666667,65,16,33,24,57,73,23
2015,"iguana",35.8433333333333,49,14,22,28,50,64,23
2015,"monkey",5.47666666666667,33,9,36,15,51,60,23
2015,"muskN",32.45,55,15,20,27,47,62,23
2015,"pelican",7.05666666666667,29,10,30,9,39,49,23
2015,"white",3.98333333333333,23,9,17,16,33,42,23
2016,"bigelow",15.3766666666667,36,13,28,19,47,60,24
2016,"crab",14.6133333333333,37,15,22,28,50,65,24
2016,"grand",14.13,60,14,25,24,49,63,24
2016,"iguana",31.1633333333333,54,16,20,24,44,60,24
2016,"monkey",6.15333333333333,30,11,29,22,51,62,24
2016,"muskN",26.4366666666667,57,14,20,22,42,56,24
2016,"pelican",6.90333333333333,17,9,27,14,41,50,24
2016,"white",10.52,22,12,18,22,40,52,24
2017,"bigelow",16.0033333333333,38,18,NA,23,NA,NA,25
2017,"crab",16.6966666666667,33,18,21,26,47,65,25
2017,"grand",12.3633333333333,62,16,29,21,50,66,25
2017,"iguana",39.9,50,20,21,28,49,69,25
2017,"monkey",8.19666666666667,29,14,33,20,53,67,25
2017,"muskN",38.8366666666667,45,22,20,29,49,71,25
2017,"pelican",7.74,17,14,NA,17,NA,NA,25
2017,"white",2.67666666666667,19,11,13,15,28,39,25
2018,"bigelow",18.4133333333333,40,21,26,28,54,75,26
2018,"crab",18.72,36,19,20,25,45,64,26
2018,"grand",15.4466666666667,59,15,31,27,58,73,26
2018,"iguana",40.49,48,21,19,29,48,69,26
2018,"monkey",7.89,26,17,29,26,55,72,26
2018,"muskN",38.0133333333333,49,19,19,36,55,74,26
2018,"pelican",9.33,24,18,24,24,48,66,26
2018,"white",3.1,20,12,17,26,43,55,26
